PART_NUMBER,LCD1602,,,,
CLASS,IC,,,,
PHYS_DES_PREFIX,J,,,,
VENDOR,UNSPEC,,,,
BODY_NAME,LCD,,,,
JEDEC_TYPE,DIP16-LCD,,,,
PIN_NUMBER,PIN_NAME,PIN_TYPE,SYMBOL,PIN_LOCATION,PIN_POSITION
1,VSS,UNSPEC,1,Right,0
2,VDD,UNSPEC,1,Right,2
3,VL,UNSPEC,1,Right,4
4,RS,UNSPEC,1,Right,6
5,R/W,UNSPEC,1,Right,8
6,E,UNSPEC,1,Right,10
7,D0,UNSPEC,1,Right,12
8,D1,UNSPEC,1,Right,14
9,D2,UNSPEC,1,Right,16
10,D3,UNSPEC,1,Right,18
11,D4,UNSPEC,1,Right,20
12,D5,UNSPEC,1,Right,22
13,D6,UNSPEC,1,Right,24
14,D7,UNSPEC,1,Right,26
15,BLA,UNSPEC,1,Right,28
16,BLK,UNSPEC,1,Right,30
